;updated;high;low;open;close;volume;average
0;1686603600;26019.39;25825.01;25905.8;25880.15;1326.27;25922.2
1;1686517200;26096.89;25627.25;25936.78;25905.8;17059.03;25862.07
2;1686430800;26211.29;25656.98;25856.35;25936.78;13168.26;25934.135
3;1686344400;26533.6;25460.6;26483.95;25856.35;31274.22;25997.1
4;1686258000;26776.13;26297.32;26507.99;26483.95;16584.83;26536.725
5;1686171600;26811.0;26227.87;26349.52;26507.99;15155.83;26519.435
6;1686085200;27420.01;26137.82;27264.0;26349.52;30523.59;26778.915
7;1685998800;27376.19;25378.79;25740.49;27264.0;38328.33;26377.49
8;1685912400;27134.81;25415.65;27126.86;25740.49;34164.95;26275.230000000003
9;1685826000;27447.88;26963.31;27078.29;27126.86;9147.52;27205.595
10;1685739600;27332.14;26950.56;27251.31;27078.29;8092.38;27141.35
11;1685653200;27304.43;26521.49;26826.95;27251.31;23726.54;26912.96
12;1685566800;27343.78;26646.29;27220.7;26826.95;23872.57;26995.035
13;1685480400;27838.39;26855.32;27702.14;27220.7;27999.88;27346.855
14;1685394000;28049.83;27567.55;27746.07;27702.14;23595.91;27808.69
15;1685307600;28456.94;27548.48;28077.15;27746.07;21630.9;28002.71
16;1685221200;28253.91;26790.38;26872.08;28077.15;19572.38;27522.145
17;1685134800;26899.17;26585.27;26721.25;26872.08;7346.83;26742.22
18;1685048400;26938.84;26338.38;26480.31;26721.25;20371.81;26638.61
19;1684962000;26600.0;25879.36;26326.59;26480.31;22738.6;26239.68
20;1684875600;27225.94;26088.24;27224.64;26326.59;31288.65;26657.09
21;1684789200;27475.27;26808.48;26855.83;27224.64;21224.55;27141.875
22;1684702800;27081.37;26547.27;26755.7;26855.83;17663.14;26814.32
23;1684616400;27273.52;26691.13;27117.18;26755.7;11953.22;26982.325
24;1684530000;27163.96;26839.84;26887.96;27117.18;7364.81;27001.9
25;1684443600;27176.23;26661.47;26821.85;26887.96;16451.04;26918.85
26;1684357200;27473.95;26394.46;27404.35;26821.85;27573.46;26934.205
27;1684270800;27492.13;26577.97;27036.63;27404.35;29178.97;27035.050000000003
28;1684184400;27301.71;26873.63;27175.06;27036.63;23917.09;27087.67
29;1684098000;27668.25;26757.84;26932.09;27175.06;27945.21;27213.045
30;1684011600;27201.48;26611.49;26789.55;26932.09;11865.58;26906.485
31;1683925200;27048.87;26705.71;26807.89;26789.55;12487.41;26877.29
32;1683838800;27080.81;25848.3;26992.24;26807.89;42502.09;26464.555
